time,rank_0_accumulated,rank_0_current
114.122,21.7757,21.7757
226.459,21.9474,22.1217
339.598,21.9533,21.9651
453.909,21.8995,21.7396
569.139,21.8321,21.5665
683.067,21.8288,21.8127
798.692,21.7802,21.4929
911.846,21.8027,21.9619
1025.18,21.8165,21.927
1159.53,21.432,18.4978
1284.94,21.2742,19.8156
1387.03,21.4999,24.3408
1490.28,21.678,24.0694
1592.83,21.8425,24.2335
1686.41,22.104,26.5548
1773.45,22.4204,28.5506
1859.06,22.7247,29.0283
1943.64,23.0144,29.3813
2027.45,23.2888,29.6532
2111.07,23.5434,29.7164
2194.26,23.7834,29.8749
2277.23,24.0081,29.9493
2359.57,24.2236,30.1837
2442.96,24.4139,29.7988
